Enroll,READING,WRITING,LISTENING,ORAL,FINAL,NIVEL,adm_administration_date
59676,22,13,16,20,B,1,1/21/2023
60015,22,14,12,20,C,1,1/21/2023
59957,24,14,18,20,A,1,1/21/2023
59841,16,13,14,20,C,1,1/21/2023
59856,23,14,18,19,B,1,1/21/2023
59884,24,15,20,19,A,1,1/21/2023
59907,13,5,13,12,D,1,1/21/2023
59950,19,14,13,20,C,1,1/21/2023
60032,20,11,13,15,C,1,1/21/2023
57662,22,13,17,15,B,1,1/21/2023
59056,17,12,17,15,C,1,1/21/2023
58474,19,7,12,17,D,1,1/21/2023
58962,20,10,14,12,C,1,1/21/2023
59074,13,3,14,13,D,1,1/21/2023
58911,19,4,17,10,E,1,1/21/2023
58888,13,3,8,12,D,1,1/21/2023
58739,21,14,17,14,C,1,1/21/2023
59032,21,3,7,6,E,1,1/21/2023
58877,19,8,10,7,E,1,1/21/2023
59198,16,8,8,13,D,1,1/21/2023
59538,23,12,16,20,B,1,1/21/2023
59423,24,11,16,18,B,1,1/21/2023
59343,24,12,19,17,B,1,1/21/2023
59452,21,8,14,16,C,1,1/21/2023
59560,13,5,6,14,D,1,1/21/2023
59664,20,14,17,15,B,1,1/21/2023
59675,12,3,7,11,D,1,1/21/2023
59688,23,14,18,19,B,1,1/21/2023
59708,17,8,14,11,C,1,1/21/2023
59991,6,2,6,13,D,1,1/21/2023
58331,22,15,18,19,B,1,1/21/2023
58891,23,10,19,19,B,1,1/21/2023
58710,24,14,16,17,B,1,1/21/2023
59083,16,11,17,19,C,1,1/21/2023
59048,18,2,13,12,D,1,1/21/2023
58977,5,4,11,11,D,1,1/21/2023
58813,20,9,13,10,D,1,1/21/2023
58882,24,11,16,18,B,1,1/21/2023
58999,21,11,16,10,D,1,1/21/2023
59144,24,12,17,13,C,1,1/21/2023
59164,20,12,17,7,D,1,1/21/2023
59379,23,11,11,7,D,1,1/21/2023
59291,21,13,13,12,C,1,1/21/2023
59288,17,9,14,14,C,1,1/21/2023
59444,14,8,15,7,E,1,1/21/2023
59536,19,12,16,11,C,1,1/21/2023
59703,20,13,17,20,C,1,1/21/2023
59857,23,11,14,13,C,1,1/21/2023
59866,17,3,12,12,D,1,1/21/2023
59931,21,8,13,13,C,1,1/21/2023
60013,22,7,11,18,D,1,1/21/2023
59035,12,7,12,18,D,1,1/21/2023
59042,23,13,18,20,B,1,1/21/2023
58953,24,12,18,20,B,1,1/21/2023
58986,21,12,20,17,B,1,1/21/2023
58893,21,14,12,19,C,1,1/21/2023
59351,18,12,12,12,C,1,1/21/2023
58994,15,2,11,11,D,1,1/21/2023
58900,23,14,19,17,B,1,1/21/2023
59049,15,6,6,18,D,1,1/21/2023
59152,15,3,15,6,E,1,1/21/2023
59225,22,13,18,18,B,1,1/21/2023
59026,23,13,18,19,B,1,1/21/2023
59318,13,7,10,16,D,1,1/21/2023
59270,9,3,4,0,E,1,1/21/2023
59500,19,7,15,7,E,1,1/21/2023
59584,23,12,15,17,B,1,1/21/2023
59730,22,16,17,18,B,1,1/21/2023
59694,16,11,17,17,C,1,1/21/2023
59966,9,2,6,12,D,1,1/21/2023
60008,24,16,17,18,A,1,1/21/2023
59766,23,10,14,13,C,1,1/21/2023
59962,20,15,20,18,B,1,1/21/2023
59953,15,1,10,0,E,1,1/21/2023
59932,20,14,19,19,B,1,1/21/2023
59896,19,13,15,13,C,1,1/21/2023
59977,24,14,20,20,A,1,1/21/2023
60016,19,8,17,14,C,1,1/21/2023
58498,23,14,19,18,B,1,1/21/2023
58861,23,14,19,20,A,1,1/21/2023
58614,18,4,14,14,D,1,1/21/2023
58506,18,11,16,20,C,1,1/21/2023
58847,18,11,12,11,C,1,1/21/2023
58523,24,14,19,19,A,1,1/21/2023
58863,15,13,17,16,C,1,1/21/2023
58414,19,9,15,7,D,1,1/21/2023
58427,21,12,7,14,C,1,1/21/2023
59334,24,9,15,11,C,1,1/21/2023
59080,19,11,15,13,C,1,1/21/2023
59253,14,4,12,6,E,1,1/21/2023
59358,17,4,9,8,E,1,1/21/2023
59473,10,2,4,0,E,1,1/21/2023
59904,22,15,20,20,B,1,1/21/2023
59800,19,14,17,16,B,1,1/21/2023
59793,22,7,15,16,C,1,1/21/2023
59923,23,6,14,11,C,1,1/21/2023
59945,20,6,14,16,C,1,1/21/2023
59860,18,11,10,16,D,1,1/21/2023
60035,16,8,15,12,D,1,1/21/2023
58707,22,11,17,16,C,1,1/21/2023
58382,17,12,18,18,C,1,1/21/2023
58681,22,12,18,20,B,1,1/21/2023
58859,23,10,15,17,C,1,1/21/2023
58975,21,12,11,18,C,1,1/21/2023
58418,21,12,14,20,C,1,1/21/2023
58538,23,14,20,20,A,1,1/21/2023
59112,9,5,15,13,D,1,1/21/2023
58909,23,13,18,15,B,1,1/21/2023
59170,23,13,19,20,B,1,1/21/2023
59051,24,12,18,20,B,1,1/21/2023
59108,13,4,8,13,D,1,1/21/2023
59111,24,12,19,20,B,1,1/21/2023
59550,16,6,19,16,C,1,1/21/2023
59305,7,2,5,4,E,1,1/21/2023
59642,15,9,19,19,C,1,1/21/2023
59539,14,7,15,13,D,1,1/21/2023
59689,24,16,16,20,B,1,1/21/2023
59690,22,10,19,20,B,1,1/21/2023
59699,23,13,20,19,A,1,1/21/2023
59681,18,10,13,14,C,1,1/21/2023
59951,23,11,20,20,B,1,1/21/2023
59799,23,12,17,20,B,1,1/21/2023
59804,24,12,17,20,B,1,1/21/2023
59924,16,10,14,16,D,1,1/21/2023
59748,23,13,12,19,C,1,1/21/2023
58651,19,5,14,11,D,1,1/21/2023
58403,14,4,6,11,D,1,1/21/2023
58586,18,6,14,13,D,1,1/21/2023
58751,11,2,12,10,E,1,1/21/2023
58722,15,5,14,17,D,1,1/21/2023
59360,15,11,15,18,C,1,1/21/2023
59184,16,5,17,18,D,1,1/21/2023
58618,20,8,15,18,C,1,1/21/2023
59116,19,3,14,13,D,1,1/21/2023
59260,20,16,19,20,B,1,1/21/2023
58912,22,11,16,19,B,1,1/21/2023
58663,13,7,12,11,D,1,1/21/2023
59113,21,13,18,19,B,1,1/21/2023
59400,23,15,20,20,A,1,1/21/2023
59569,15,11,11,13,D,1,1/21/2023
59488,23,13,16,20,B,1,1/21/2023
59787,13,3,12,16,D,1,1/21/2023
59775,20,5,16,14,D,1,1/21/2023
59697,22,13,17,19,B,1,1/21/2023
59943,24,14,16,20,B,1,1/21/2023
59779,14,4,13,13,D,1,1/21/2023
59711,21,11,16,20,C,1,1/21/2023
59955,14,9,16,19,D,1,1/21/2023
59933,19,12,15,20,C,1,1/21/2023
60025,22,12,16,19,B,1,1/21/2023
60024,10,3,13,11,D,1,1/21/2023
58452,22,11,15,20,C,1,1/21/2023
58526,23,10,17,18,B,1,1/21/2023
58515,11,4,5,1,E,1,1/21/2023
58530,21,9,18,20,C,1,1/21/2023
58548,24,14,17,19,B,1,1/21/2023
59256,17,3,12,9,E,1,1/21/2023
59251,23,8,17,19,C,1,1/21/2023
59076,24,14,20,20,A,1,1/21/2023
59137,24,14,19,20,A,1,1/21/2023
58842,8,5,6,6,E,1,1/21/2023
58764,16,8,12,19,D,1,1/21/2023
58712,16,8,12,17,D,1,1/21/2023
59093,24,12,16,18,B,1,1/21/2023
59220,17,5,14,18,D,1,1/21/2023
59511,13,2,7,14,D,1,1/21/2023
59451,15,7,7,19,D,1,1/21/2023
59507,24,13,20,20,A,1,1/21/2023
59705,19,8,11,17,D,1,1/21/2023
59662,21,13,15,19,C,1,1/21/2023
59877,22,8,14,15,C,1,1/21/2023
59756,17,7,6,18,D,1,1/21/2023
59897,22,14,15,18,B,1,1/21/2023
59881,14,3,15,17,D,1,1/21/2023
59929,19,7,13,17,D,1,1/21/2023
59937,20,15,18,20,B,1,1/21/2023
60027,19,8,13,19,D,1,1/21/2023
58500,23,6,13,17,C,1,1/21/2023
58983,8,2,8,11,D,1,1/21/2023
58495,14,8,11,12,D,1,1/21/2023
58401,23,13,18,19,B,1,1/21/2023
59345,19,9,15,12,C,1,1/21/2023
59218,22,13,13,16,C,1,1/21/2023
58669,14,4,8,12,D,1,1/21/2023
59142,7,1,1,4,E,1,1/21/2023
59115,19,11,15,11,C,1,1/21/2023
59106,19,11,15,11,C,1,1/21/2023
58987,22,13,19,16,B,1,1/21/2023
59066,21,10,17,16,C,1,1/21/2023
59301,24,11,17,18,B,1,1/21/2023
59687,24,11,19,20,B,1,1/21/2023
59439,21,12,16,15,C,1,1/21/2023
59524,21,14,17,11,C,1,1/21/2023
59704,17,8,16,13,C,1,1/21/2023
59685,18,7,12,15,D,1,1/21/2023
59698,8,3,5,5,E,1,1/21/2023
59863,22,14,18,18,B,1,1/21/2023
59737,20,14,16,13,C,1,1/21/2023
59782,21,6,16,8,D,1,1/21/2023
59871,22,13,17,20,B,1,1/21/2023
59960,23,6,12,8,E,1,1/21/2023
60006,18,9,16,15,C,1,1/21/2023
59634,10,1,3,0,E,1,1/21/2023
58388,21,11,15,12,C,1,1/21/2023
58904,22,11,13,18,C,1,1/21/2023
58753,24,9,14,16,C,1,1/21/2023
58563,21,7,15,14,C,1,1/21/2023
58740,23,15,19,20,A,1,1/21/2023
59304,22,13,18,19,B,1,1/21/2023
58582,24,11,17,20,B,1,1/21/2023
59232,15,5,14,10,E,1,1/21/2023
58721,15,6,18,16,D,1,1/21/2023
59127,19,5,13,14,D,1,1/21/2023
59069,14,11,11,6,E,1,1/21/2023
59391,24,14,19,20,A,1,1/21/2023
59364,20,13,13,18,C,1,1/21/2023
59390,20,13,17,17,B,1,1/21/2023
58947,12,3,12,12,D,1,1/21/2023
59592,23,16,19,20,A,1,1/21/2023
59526,20,11,15,20,C,1,1/21/2023
59387,16,5,10,7,E,1,1/21/2023
59608,23,15,16,12,C,1,1/21/2023
59597,23,12,19,15,B,1,1/21/2023
59649,14,7,7,16,D,1,1/21/2023
59861,24,12,17,20,B,1,1/21/2023
59118,18,2,17,11,D,1,1/21/2023
58566,19,11,15,17,C,1,1/21/2023
58557,23,10,16,19,C,1,1/21/2023
58762,21,15,13,18,B,1,1/21/2023
58866,17,6,11,8,E,1,1/21/2023
59373,23,11,17,17,B,1,1/21/2023
59102,24,10,20,17,B,1,1/21/2023
58704,16,6,15,11,D,1,1/21/2023
58895,17,6,14,11,D,1,1/21/2023
59230,20,11,16,14,C,1,1/21/2023
59071,12,7,14,15,D,1,1/21/2023
58972,14,6,6,6,E,1,1/21/2023
59208,16,6,9,12,D,1,1/21/2023
59371,24,16,20,20,A,1,1/21/2023
59297,18,12,13,14,C,1,1/21/2023
58948,12,1,2,1,E,1,1/21/2023
59392,23,8,15,12,C,1,1/21/2023
59564,21,13,18,17,B,1,1/21/2023
59604,12,4,8,3,E,1,1/21/2023
59764,22,14,15,17,B,1,1/21/2023
59609,24,12,17,16,B,1,1/21/2023
59794,11,3,9,2,E,1,1/21/2023
58362,22,13,19,20,B,1,1/21/2023
58820,21,13,18,20,B,1,1/21/2023
58896,11,2,12,8,E,1,1/21/2023
58451,20,13,18,20,B,1,1/21/2023
58638,13,2,12,8,E,1,1/21/2023
59327,23,13,17,15,B,1,1/21/2023
59121,21,10,17,10,D,1,1/21/2023
59231,16,8,9,7,E,1,1/21/2023
58600,23,14,17,20,B,1,1/21/2023
58920,5,2,4,0,E,1,1/21/2023
59425,22,11,13,13,C,1,1/21/2023
59295,23,13,17,11,C,1,1/21/2023
59395,21,14,13,11,C,1,1/21/2023
59362,19,13,14,15,C,1,1/21/2023
59264,15,10,10,5,E,1,1/21/2023
59422,19,5,12,11,D,1,1/21/2023
59403,17,2,7,5,E,1,1/21/2023
59576,17,9,18,11,C,1,1/21/2023
59389,19,14,18,12,C,1,1/21/2023
59637,24,13,19,20,A,1,1/21/2023
59760,22,16,20,20,A,1,1/21/2023
60007,20,8,11,15,D,1,1/21/2023
59819,16,8,16,15,D,1,1/21/2023
59821,18,8,11,5,E,1,1/21/2023
59813,4,5,4,0,E,1,1/21/2023
59818,20,12,12,15,C,1,1/21/2023
59824,18,8,14,13,D,1,1/21/2023
59830,3,5,11,5,E,1,1/21/2023
59826,11,3,8,10,E,1,1/21/2023
59828,6,3,6,5,E,1,1/21/2023
59822,7,5,6,5,E,1,1/21/2023
59827,18,8,11,6,E,1,1/21/2023
59833,24,12,18,19,B,1,1/21/2023
59823,16,13,13,10,D,1,1/21/2023
59814,17,2,11,6,E,1,1/21/2023
59812,6,4,2,6,E,1,1/21/2023
59808,21,10,13,17,C,1,1/21/2023
59809,24,16,19,20,A,1,1/21/2023
59815,7,4,2,5,E,1,1/21/2023
59810,9,3,11,11,D,1,1/21/2023
59831,18,11,13,17,C,1,1/21/2023
59820,19,3,10,16,D,1,1/21/2023
59807,12,4,8,12,D,1,1/21/2023
59811,7,3,2,5,E,1,1/21/2023
58367,11,6,12,0,E,2,1/28/2023
58625,19,3,8,10,E,2,1/28/2023
58539,18,11,15,18,C,2,1/28/2023
58849,21,10,16,20,B,2,1/28/2023
58387,16,6,13,12,D,2,1/28/2023
58393,19,9,15,20,C,2,1/28/2023
58512,12,4,15,12,D,2,1/28/2023
58442,16,5,11,14,D,2,1/28/2023
58579,9,3,6,5,E,2,1/28/2023
58339,17,7,13,7,D,2,1/28/2023
58348,19,9,14,20,C,2,1/28/2023
58666,19,8,15,12,C,2,1/28/2023
58549,19,10,16,17,C,2,1/28/2023
59211,21,14,19,19,A,2,1/28/2023
58661,21,7,15,12,C,2,1/28/2023
58793,20,11,19,14,C,2,1/28/2023
59084,18,11,13,12,C,2,1/28/2023
58556,18,10,16,13,C,2,1/28/2023
59437,18,11,17,20,B,2,1/28/2023
59428,9,2,9,12,D,2,1/28/2023
59433,16,2,13,14,D,2,1/28/2023
58435,20,9,17,19,C,2,1/28/2023
58836,17,7,16,14,C,2,1/28/2023
58488,20,6,15,13,C,2,1/28/2023
58326,22,13,20,17,B,2,1/28/2023
58679,18,4,15,14,C,2,1/28/2023
58405,20,10,17,15,B,2,1/28/2023
58467,16,6,14,16,D,2,1/28/2023
58650,14,6,8,9,E,2,1/28/2023
58489,17,9,13,15,C,2,1/28/2023
58647,11,6,10,11,D,2,1/28/2023
58528,17,4,16,17,D,2,1/28/2023
58458,18,11,17,18,B,2,1/28/2023
58322,22,9,14,18,C,2,1/28/2023
58688,20,9,15,13,C,2,1/28/2023
58714,17,8,18,13,C,2,1/28/2023
58494,19,13,19,20,A,2,1/28/2023
58497,15,9,11,17,D,2,1/28/2023
59443,9,3,8,7,E,2,1/28/2023
59409,13,4,14,13,D,2,1/28/2023
58429,21,16,18,19,A,2,1/28/2023
58457,17,8,13,15,D,2,1/28/2023
58628,13,3,7,15,D,2,1/28/2023
58350,15,2,12,13,D,2,1/28/2023
58542,18,12,18,20,B,2,1/28/2023
58343,9,3,11,16,D,2,1/28/2023
58537,9,5,7,12,D,2,1/28/2023
58531,11,3,8,7,E,2,1/28/2023
58671,13,2,8,5,E,2,1/28/2023
58449,5,3,7,5,E,2,1/28/2023
58731,8,1,9,12,D,2,1/28/2023
58565,21,13,18,20,A,2,1/28/2023
58437,19,5,17,13,C,2,1/28/2023
59233,11,5,11,17,D,2,1/28/2023
58653,20,9,17,20,B,2,1/28/2023
58787,16,9,10,20,D,2,1/28/2023
58334,15,5,13,14,D,2,1/28/2023
59484,10,2,10,11,D,2,1/28/2023
59508,14,5,12,8,E,2,1/28/2023
60038,10,4,8,5,E,2,1/28/2023
58465,18,12,17,20,B,2,1/28/2023
58486,11,3,14,13,D,2,1/28/2023
58715,17,1,9,10,E,2,1/28/2023
58642,17,2,15,10,E,2,1/28/2023
58446,12,3,5,5,E,2,1/28/2023
58584,20,4,13,12,D,2,1/28/2023
58574,22,11,17,14,C,2,1/28/2023
58410,20,12,19,20,B,2,1/28/2023
58454,9,6,6,5,E,2,1/28/2023
58357,20,11,14,20,C,2,1/28/2023
58687,6,3,6,10,E,2,1/28/2023
58441,20,14,16,20,B,2,1/28/2023
58665,22,11,20,20,A,2,1/28/2023
58728,17,9,15,15,C,2,1/28/2023
58632,14,8,14,17,C,2,1/28/2023
58746,10,3,7,0,E,2,1/28/2023
58677,16,10,12,20,C,2,1/28/2023
58380,17,9,16,20,C,2,1/28/2023
59480,10,4,11,12,D,2,1/28/2023
59646,16,8,17,16,C,2,1/28/2023
59134,9,7,13,12,D,2,1/28/2023
58716,21,8,11,17,C,2,1/28/2023
59031,16,6,11,12,D,2,1/28/2023
59196,17,6,14,16,C,2,1/28/2023
59174,4,1,4,0,E,2,1/28/2023
59168,16,11,15,15,C,2,1/28/2023
59269,19,14,15,17,B,2,1/28/2023
59175,20,14,18,20,A,2,1/28/2023
59078,18,5,16,15,C,2,1/28/2023
59415,17,11,12,17,C,2,1/28/2023
59203,15,5,14,17,D,2,1/28/2023
59303,20,12,18,20,B,2,1/28/2023
59518,15,8,12,15,D,2,1/28/2023
59601,21,7,12,16,C,2,1/28/2023
59241,18,7,14,15,C,2,1/28/2023
59627,19,11,18,18,B,2,1/28/2023
59770,14,6,9,9,E,2,1/28/2023
59792,19,14,17,14,C,2,1/28/2023
59990,14,3,9,12,D,2,1/28/2023
58982,18,8,16,19,C,2,1/28/2023
58317,13,7,10,18,D,2,1/28/2023
58907,20,13,18,20,B,2,1/28/2023
59321,20,12,17,20,B,2,1/28/2023
59300,14,10,15,13,D,2,1/28/2023
58944,17,11,17,19,C,2,1/28/2023
59146,16,7,15,20,C,2,1/28/2023
59176,20,13,19,20,A,2,1/28/2023
59285,22,13,18,20,A,2,1/28/2023
59383,19,6,14,19,C,2,1/28/2023
59644,21,12,18,18,A,2,1/28/2023
59656,20,12,18,18,B,2,1/28/2023
59566,18,8,16,17,C,2,1/28/2023
59573,15,9,11,18,D,2,1/28/2023
59707,19,8,12,15,C,2,1/28/2023
59776,19,12,13,19,C,2,1/28/2023
58860,19,14,16,17,B,2,1/28/2023
59132,19,3,6,11,D,2,1/28/2023
58782,17,9,16,17,C,2,1/28/2023
58756,11,1,10,11,D,2,1/28/2023
58781,20,10,14,16,C,2,1/28/2023
58411,22,12,19,18,A,2,1/28/2023
58991,17,11,15,14,C,2,1/28/2023
58743,13,2,6,9,E,2,1/28/2023
58996,17,9,15,12,C,2,1/28/2023
59124,14,4,14,12,D,2,1/28/2023
59382,20,11,16,12,C,2,1/28/2023
59319,15,11,14,15,C,2,1/28/2023
59695,8,3,10,7,E,2,1/28/2023
59917,18,3,15,7,E,2,1/28/2023
59875,15,2,10,9,E,2,1/28/2023
59998,21,11,17,16,B,2,1/28/2023
58575,20,4,10,11,D,2,1/28/2023
58768,13,6,9,16,D,2,1/28/2023
58487,20,10,13,20,C,2,1/28/2023
58858,16,11,14,11,C,2,1/28/2023
58376,11,3,12,13,D,2,1/28/2023
59046,19,13,18,19,B,2,1/28/2023
58930,17,5,11,9,E,2,1/28/2023
58998,12,3,11,9,E,2,1/28/2023
58993,21,11,17,20,B,2,1/28/2023
59320,19,6,11,18,D,2,1/28/2023
59615,19,11,17,20,B,2,1/28/2023
59582,19,8,16,15,C,2,1/28/2023
59946,21,14,14,15,B,2,1/28/2023
59928,18,9,11,16,C,2,1/28/2023
59852,12,2,13,10,E,2,1/28/2023
59795,16,7,14,16,C,2,1/28/2023
60002,16,6,13,17,D,2,1/28/2023
59062,15,9,17,18,C,2,1/28/2023
58417,17,6,13,14,D,2,1/28/2023
59249,13,8,11,16,D,2,1/28/2023
59044,14,5,7,13,D,2,1/28/2023
59204,17,8,8,16,D,2,1/28/2023
58919,19,10,18,18,B,2,1/28/2023
59348,14,5,7,13,D,2,1/28/2023
59322,16,5,13,13,D,2,1/28/2023
59359,16,6,12,18,D,2,1/28/2023
59310,20,15,17,15,B,2,1/28/2023
59645,0,0,0,0,-,2,1/28/2023
59578,10,6,14,16,D,2,1/28/2023
59639,18,14,13,18,B,2,1/28/2023
59616,20,10,15,11,C,2,1/28/2023
59628,22,10,17,19,B,2,1/28/2023
59668,18,13,19,19,B,2,1/28/2023
59880,12,6,14,20,D,2,1/28/2023
59894,18,9,20,20,B,2,1/28/2023
59938,16,6,9,20,D,2,1/28/2023
59890,9,3,10,18,D,2,1/28/2023
59989,11,4,10,18,D,2,1/28/2023
59988,14,5,9,20,D,2,1/28/2023
59081,17,7,14,14,C,2,1/28/2023
58559,12,4,11,6,E,2,1/28/2023
58754,16,11,17,17,C,2,1/28/2023
59195,15,3,7,13,D,2,1/28/2023
59058,19,12,15,18,B,2,1/28/2023
58950,19,5,13,15,C,2,1/28/2023
59213,13,4,10,11,D,2,1/28/2023
59268,11,2,9,8,E,2,1/28/2023
59424,18,9,16,18,C,2,1/28/2023
59376,19,12,20,19,A,2,1/28/2023
59593,20,4,10,13,D,2,1/28/2023
59429,16,5,11,11,D,2,1/28/2023
59710,21,12,17,20,B,2,1/28/2023
59733,20,7,15,17,C,2,1/28/2023
59693,20,11,17,20,B,2,1/28/2023
60011,21,10,16,18,B,2,1/28/2023
59910,19,12,17,19,B,2,1/28/2023
59717,19,10,17,15,B,2,1/28/2023
60014,19,9,16,14,C,2,1/28/2023
58841,17,5,11,11,D,2,1/28/2023
58913,20,9,14,15,C,2,1/28/2023
58992,18,12,18,19,B,2,1/28/2023
59201,19,11,17,20,B,2,1/28/2023
59151,17,10,17,16,C,2,1/28/2023
58943,8,1,7,6,E,2,1/28/2023
59352,14,4,9,15,D,2,1/28/2023
59385,18,6,13,15,C,2,1/28/2023
59405,20,15,17,20,A,2,1/28/2023
59414,21,8,15,16,C,2,1/28/2023
59589,17,3,12,13,D,2,1/28/2023
59520,14,4,8,5,E,2,1/28/2023
59853,20,9,15,19,B,2,1/28/2023
59614,20,5,13,15,C,2,1/28/2023
59712,18,13,15,19,B,2,1/28/2023
60005,16,7,11,9,E,2,1/28/2023
59743,18,11,16,20,B,2,1/28/2023
59993,14,4,11,12,D,2,1/28/2023
59909,17,7,12,14,D,2,1/28/2023
59934,20,12,18,20,B,2,1/28/2023
59995,15,3,14,13,D,2,1/28/2023
60010,21,12,17,19,B,2,1/28/2023
58971,18,11,18,19,B,2,1/28/2023
58640,21,10,17,20,B,2,1/28/2023
58587,14,6,12,11,D,2,1/28/2023
58659,9,5,7,5,E,2,1/28/2023
58511,16,7,11,15,D,2,1/28/2023
58853,13,8,11,9,E,2,1/28/2023
58941,20,7,15,12,C,2,1/28/2023
58503,15,7,15,10,D,2,1/28/2023
59119,14,8,8,8,E,2,1/28/2023
