Enroll,READING,WRITING,LISTENING,ORAL,FINAL,NIVEL,adm_administration_date
59158,12,6,12,12,D,1,1/21/2023
59079,21,14,17,18,B,1,1/21/2023
59053,22,10,15,14,C,1,1/21/2023
58330,19,8,3,14,D,1,1/21/2023
58672,24,13,17,18,B,1,1/21/2023
59041,21,13,12,19,C,1,1/21/2023
58370,13,2,14,14,D,1,1/21/2023
59329,20,13,14,17,C,1,1/21/2023
58733,18,6,14,12,D,1,1/21/2023
58951,17,10,16,19,C,1,1/21/2023
59262,23,8,17,8,D,1,1/21/2023
59163,19,12,14,15,C,1,1/21/2023
58883,23,14,18,18,B,1,1/21/2023
58507,19,15,17,15,B,1,1/21/2023
59153,11,3,10,15,D,1,1/21/2023
58439,21,13,13,13,C,1,1/21/2023
59374,20,11,17,18,C,1,1/21/2023
59332,21,13,18,17,B,1,1/21/2023
59521,17,4,13,10,E,1,1/21/2023
59499,18,7,13,17,D,1,1/21/2023
59537,21,10,17,20,C,1,1/21/2023
59648,23,15,15,16,B,1,1/21/2023
59773,17,9,16,10,D,1,1/21/2023
58547,23,15,20,20,A,1,1/21/2023
58967,20,12,14,18,C,1,1/21/2023
59014,22,12,14,16,C,1,1/21/2023
58544,22,14,18,12,C,1,1/21/2023
58844,23,14,17,20,B,1,1/21/2023
58364,8,3,10,11,D,1,1/21/2023
58699,22,13,19,20,B,1,1/21/2023
59140,24,12,16,16,B,1,1/21/2023
59060,23,14,18,12,C,1,1/21/2023
58590,24,9,9,14,C,1,1/21/2023
59150,19,9,16,6,D,1,1/21/2023
59123,24,15,19,19,A,1,1/21/2023
58545,18,9,16,15,C,1,1/21/2023
59188,20,11,19,18,C,1,1/21/2023
59033,22,12,17,18,B,1,1/21/2023
58923,18,8,13,16,D,1,1/21/2023
59553,19,12,16,16,C,1,1/21/2023
59312,23,12,19,16,B,1,1/21/2023
59313,23,14,15,20,B,1,1/21/2023
59331,24,15,20,20,A,1,1/21/2023
59545,24,7,17,19,C,1,1/21/2023
59527,18,4,10,16,D,1,1/21/2023
59554,19,5,11,10,E,1,1/21/2023
59655,12,4,8,8,E,1,1/21/2023
59789,18,5,13,17,D,1,1/21/2023
58823,10,8,14,11,D,1,1/21/2023
58725,18,9,14,19,D,1,1/21/2023
58533,18,5,10,11,D,1,1/21/2023
58606,18,13,14,20,C,1,1/21/2023
58612,24,11,17,12,C,1,1/21/2023
58881,22,14,17,17,B,1,1/21/2023
59315,21,8,15,11,C,1,1/21/2023
59054,24,13,18,20,B,1,1/21/2023
59156,21,11,17,17,C,1,1/21/2023
59237,24,14,20,19,A,1,1/21/2023
59265,20,9,14,17,C,1,1/21/2023
59034,16,6,9,9,E,1,1/21/2023
58843,7,1,1,0,E,1,1/21/2023
58453,21,14,20,20,B,1,1/21/2023
58674,15,7,14,13,D,1,1/21/2023
59479,15,3,12,10,E,1,1/21/2023
59517,23,13,18,16,B,1,1/21/2023
59474,23,13,19,17,B,1,1/21/2023
59367,20,12,18,15,B,1,1/21/2023
59591,13,6,9,0,E,1,1/21/2023
59622,21,8,19,19,C,1,1/21/2023
59465,16,11,18,19,C,1,1/21/2023
59757,16,9,16,11,C,1,1/21/2023
58596,23,13,17,17,B,1,1/21/2023
58598,16,2,15,6,E,1,1/21/2023
58727,21,13,20,20,B,1,1/21/2023
58354,23,12,17,15,B,1,1/21/2023
58328,21,5,12,11,D,1,1/21/2023
59016,23,13,18,15,B,1,1/21/2023
59055,23,15,18,19,A,1,1/21/2023
59187,21,13,19,15,B,1,1/21/2023
59177,15,9,13,10,E,1,1/21/2023
59087,23,15,19,19,A,1,1/21/2023
59129,24,13,18,20,B,1,1/21/2023
59025,9,1,6,0,E,1,1/21/2023
59130,22,15,19,20,A,1,1/21/2023
59485,24,12,17,16,B,1,1/21/2023
59459,23,15,19,20,A,1,1/21/2023
59299,23,12,16,20,B,1,1/21/2023
59335,18,6,9,10,E,1,1/21/2023
59513,19,13,15,14,C,1,1/21/2023
59551,15,2,13,3,E,1,1/21/2023
59467,20,12,17,17,C,1,1/21/2023
59623,23,14,18,20,B,1,1/21/2023
59067,24,15,14,16,B,1,1/21/2023
58570,17,14,17,10,D,1,1/21/2023
58504,20,10,16,20,C,1,1/21/2023
58361,20,13,15,15,C,1,1/21/2023
58426,15,5,10,14,D,1,1/21/2023
58436,21,14,17,20,B,1,1/21/2023
59272,21,11,10,16,C,1,1/21/2023
59275,23,14,18,17,B,1,1/21/2023
59098,23,14,17,16,B,1,1/21/2023
58409,21,11,13,20,C,1,1/21/2023
59161,24,13,16,20,B,1,1/21/2023
59183,21,5,11,19,D,1,1/21/2023
59125,11,4,12,15,D,1,1/21/2023
58814,18,12,17,19,C,1,1/21/2023
59075,18,7,16,17,C,1,1/21/2023
58541,20,8,15,16,C,1,1/21/2023
59435,20,6,16,14,C,1,1/21/2023
59363,13,2,14,12,D,1,1/21/2023
59466,24,13,19,20,A,1,1/21/2023
59658,10,5,16,11,D,1,1/21/2023
59541,22,10,15,13,C,1,1/21/2023
59472,17,2,12,17,D,1,1/21/2023
59631,17,6,15,19,D,1,1/21/2023
59673,22,7,15,11,C,1,1/21/2023
60042,23,13,19,20,B,1,1/21/2023
58997,18,6,13,18,D,1,1/21/2023
59377,11,5,5,12,D,1,1/21/2023
59180,17,3,11,14,D,1,1/21/2023
59531,22,12,14,14,C,1,1/21/2023
